Tranche d'âge,quartiers,population_count,arrondissements,secteur
80 ans ou plus,SAINT JULIEN,698,12ème arrondissement,6EME SECTEUR
0-2 ans,LES TROIS LUCS,192,12ème arrondissement,6EME SECTEUR
3-5 ans,LES TROIS LUCS,169,12ème arrondissement,6EME SECTEUR
6-10 ans,LES TROIS LUCS,312,12ème arrondissement,6EME SECTEUR
11-17 ans,LES TROIS LUCS,486,12ème arrondissement,6EME SECTEUR
18-24 ans,LES TROIS LUCS,405,12ème arrondissement,6EME SECTEUR
25-39 ans,LES TROIS LUCS,1139,12ème arrondissement,6EME SECTEUR
40-54 ans,LES TROIS LUCS,1136,12ème arrondissement,6EME SECTEUR
55-64 ans,LES TROIS LUCS,772,12ème arrondissement,6EME SECTEUR
65-79 ans,LES TROIS LUCS,1028,12ème arrondissement,6EME SECTEUR
80 ans ou plus,LES TROIS LUCS,463,12ème arrondissement,6EME SECTEUR
0-2 ans,CHÂTEAU GOMBERT,371,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,CHÂTEAU GOMBERT,305,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,CHÂTEAU GOMBERT,591,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,CHÂTEAU GOMBERT,570,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,CHÂTEAU GOMBERT,1058,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,CHÂTEAU GOMBERT,1985,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,CHÂTEAU GOMBERT,1422,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,CHÂTEAU GOMBERT,881,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,CHÂTEAU GOMBERT,841,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,CHÂTEAU GOMBERT,363,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LA CROIX ROUGE,247,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LA CROIX ROUGE,180,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,LA CROIX ROUGE,402,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,LA CROIX ROUGE,724,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,LA CROIX ROUGE,994,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,LA CROIX ROUGE,1409,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,LA CROIX ROUGE,1266,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,LA CROIX ROUGE,926,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,LA CROIX ROUGE,787,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,LA CROIX ROUGE,300,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,MALPASSÉ,414,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,MALPASSÉ,413,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,MALPASSÉ,752,13EME ARRONDISSEMENT,7EME SECTEUR
