DEPCO,NOM_CO,Quartier,dist_V,dist_Bf,dist_OM,dist_Bio,dist_T,dist_P,dist_E,dist_C
13209,Marseille 9e Arrondissemen,LE CABOT,105.4432132963989,136.18836565096953,3712.351800554017,219.86426592797784,767.2825484764543,10000.0,10000.0,1805.3822714681442
13209,Marseille 9e Arrondissemen,CARPIAGNE,,,,,,,,
13209,Marseille 9e Arrondissemen,MAZARGUES,134.7808287568647,186.15726410384423,3368.4273589615577,204.35696455317026,608.5766350474289,10000.0,10000.0,430.6210683974039
13209,Marseille 9e Arrondissemen,LA PANOUSE,271.49056603773585,274.0707547169811,4451.617924528302,530.0188679245283,1064.254716981132,10000.0,10000.0,2593.7783018867926
13209,Marseille 9e Arrondissemen,LE REDON,139.07862903225808,162.05241935483872,4943.316532258064,230.625,780.5383064516129,10000.0,10000.0,1907.2157258064517
13209,Marseille 9e Arrondissemen,SORMIOU,179.52722772277227,189.50742574257427,4438.883663366337,508.98514851485146,723.7623762376238,10000.0,10000.0,1452.3143564356435
13209,Marseille 9e Arrondissemen,STE MARGUERITE,121.43714725500257,131.04720369420215,2595.6649563878914,237.25089789635712,456.2365315546434,10000.0,10000.0,1182.6090302719342
13209,Marseille 9e Arrondissemen,VAUFREGES,126.5251798561151,188.27338129496403,5567.244604316546,350.6043165467626,406.0575539568345,10000.0,10000.0,3456.071942446043
13210,Marseille 10e Arrondissemen,LA CAPELETTE,89.78674351585015,110.71277617675312,1130.9317963496637,150.8059558117195,419.1018251681076,10000.0,10000.0,720.5341018251681
13210,Marseille 10e Arrondissemen,MENPENTI,73.52505446623094,74.72331154684096,698.2026143790849,100.13071895424837,214.96296296296296,10000.0,10000.0,562.4662309368192
13210,Marseille 10e Arrondissemen,PONT DE VIVAUX,93.90932311621967,120.29885057471265,1680.2886334610473,169.5874840357599,240.89016602809707,10000.0,10000.0,379.1800766283525
13210,Marseille 10e Arrondissemen,SAINT LOUP,128.2588433464346,140.76305446378439,2398.586749017406,240.42279618192026,460.13475575519374,10000.0,10000.0,1158.6631106120158
13210,Marseille 10e Arrondissemen,SAINT TRONC,88.22739726027397,124.89315068493151,2480.558904109589,238.80547945205478,328.8602739726027,10000.0,10000.0,921.1232876712329
13210,Marseille 10e Arrondissemen,LA TIMONE,107.62183235867447,105.86744639376218,625.9551656920078,197.92787524366472,368.39766081871346,10000.0,10000.0,697.8031189083821
13211,Marseille 11e Arrondissemen,LES ACCATES,164.21634615384616,325.02884615384613,7306.139423076923,341.33653846153845,1195.3317307692307,10000.0,10000.0,1433.1826923076924
13211,Marseille 11e Arrondissemen,LA BARASSE,188.30769230769232,188.3235294117647,6264.057692307692,227.1662895927602,1323.6153846153845,10000.0,10000.0,1753.5
13211,Marseille 11e Arrondissemen,LES CAMOINS,175.12326043737573,194.2186878727634,8408.506958250497,207.03180914512922,464.08151093439363,10000.0,10000.0,2498.707753479125
13211,Marseille 11e Arrondissemen,EOURES,296.99615384615385,296.7,9269.857692307693,292.0769230769231,419.7,10000.0,10000.0,3338.6653846153845
13211,Marseille 11e Arrondissemen,LA MILLIERE,280.9787878787879,281.0969696969697,7460.821212121212,285.51969696969695,2529.3212121212123,10000.0,10000.0,2501.740909090909
13211,Marseille 11e Arrondissemen,LA POMME,116.29032258064517,183.5674486803519,2226.7096774193546,208.8475073313783,461.0146627565982,10000.0,10000.0,618.6671554252199
13211,Marseille 11e Arrondissemen,SAINT MARCEL,140.34216101694915,170.57733050847457,4554.04343220339,350.0243644067797,448.6737288135593,10000.0,10000.0,1620.042372881356
13211,Marseille 11e Arrondissemen,SAINT MENET,245.86206896551724,311.9840848806366,7623.57824933687,503.9177718832891,1825.188328912467,10000.0,10000.0,1941.1962864721486
13211,Marseille 11e Arrondissemen,LA TREILLE,375.93939393939394,393.8,8507.454545454546,423.4727272727273,589.4666666666667,10000.0,10000.0,2860.7454545454543
13211,Marseille 11e Arrondissemen,LA VALBARELLE,148.4195205479452,148.40924657534248,3529.503424657534,451.361301369863,736.0085616438356,10000.0,10000.0,1081.9434931506848
13211,Marseille 11e Arrondissemen,LA VALENTINE,189.57097288676235,197.85645933014354,6111.759170653908,219.8261562998405,1632.3875598086124,10000.0,10000.0,436.46570972886764
13212,Marseille 12e Arrondissemen,LES CAILLOLS,130.31086657496562,179.32599724896835,3244.9257221458047,217.11829436038514,560.4896836313618,10000.0,10000.0,1476.3053645116918
13212,Marseille 12e Arrondissemen,LA FOURRAGERE,108.09379128137384,126.69616908850726,2400.1400264200793,151.81638044914135,968.5006605019815,10000.0,10000.0,1012.6235138705416
13212,Marseille 12e Arrondissemen,MONTOLIVET,143.91242265587815,202.54735840076154,1595.4526415992384,232.64731080437886,472.58353165159446,10000.0,10000.0,692.622560685388
13212,Marseille 12e Arrondissemen,SAINT BARNABE,147.64408233276157,152.87392795883363,1212.9536878216124,166.50214408233276,621.0253001715266,10000.0,10000.0,439.32246998284734
13212,Marseille 12e Arrondissemen,SAINT JEAN DU DESERT,144.91489361702128,164.49468085106383,1123.5797872340424,419.09574468085106,481.72340425531917,10000.0,10000.0,1049.7978723404256
13212,Marseille 12e Arrondissemen,SAINT JULIEN,162.5121951219512,251.6409214092141,3032.0447154471544,241.55555555555554,710.2420957542909,10000.0,10000.0,1166.8265582655827
13212,Marseille 12e Arrondissemen,LES TROIS LUCS,219.46925566343043,297.1531823085221,4834.906148867314,392.47141316073356,603.1639697950377,10000.0,10000.0,2019.529665587918
13213,Marseille 13e Arrondissemen,CHATEAU GOMBERT,170.0099875156055,230.01123595505618,2704.156054931336,258.6903870162297,618.2009987515605,10000.0,10000.0,4286.9463171036205
13213,Marseille 13e Arrondissemen,LA CROIX ROUGE,167.5244161358811,219.4543524416136,2934.539278131635,328.5562632696391,919.1932059447983,10000.0,10000.0,2853.6475583864117
13213,Marseille 13e Arrondissemen,MALPASSE,106.1838905775076,140.2112462006079,1276.065349544073,322.4392097264438,372.6489361702128,10000.0,10000.0,1554.127659574468
13213,Marseille 13e Arrondissemen,LES MEDECINS,503.9514925373134,1083.294776119403,4051.455223880597,1227.141791044776,1735.6455223880596,10000.0,10000.0,5212.671641791045
13213,Marseille 13e Arrondissemen,LES MOURETS,291.6622691292876,660.3614775725594,2017.2981530343009,683.1424802110818,1132.2717678100264,10000.0,10000.0,5081.23746701847
13213,Marseille 13e Arrondissemen,LES OLIVES,131.78751857355127,185.64933135215452,3350.1649331352155,261.15527488855867,495.2927191679049,10000.0,10000.0,2156.5646359583952
13213,Marseille 13e Arrondissemen,PALAMA,242.0441176470588,364.8844537815126,3215.9012605042017,810.5,984.1701680672269,10000.0,10000.0,5498.85294117647
13213,Marseille 13e Arrondissemen,LA ROSE,124.37946428571429,153.79910714285714,1821.404017857143,242.58928571428572,1153.5513392857142,10000.0,10000.0,1822.921875
13213,Marseille 13e Arrondissemen,SAINT JEROME,117.48738170347004,166.54889589905363,912.3580441640379,246.62618296529968,884.7870662460568,10000.0,10000.0,2222.705047318612
13213,Marseille 13e Arrondissemen,SAINT JUST,117.42638777152051,175.7039420756235,807.0345937248592,148.81657280772325,779.6267095736122,10000.0,10000.0,1833.0522928399034
13213,Marseille 13e Arrondissemen,SAINT MITRE,180.15584415584416,222.07272727272726,1093.0363636363636,316.27532467532467,1549.7285714285715,10000.0,10000.0,3554.746753246753
