Tranche d'âge,quartiers,population_count,arrondissements,secteur
11-17 ans,SAINT JEAN DU DÉSERT,274,12ÈME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,SAINT JEAN DU DÉSERT,344,12ÈME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,SAINT JEAN DU DÉSERT,771,12ÈME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,SAINT JEAN DU DÉSERT,762,12ÈME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,SAINT JEAN DU DÉSERT,453,12ÈME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,SAINT JEAN DU DÉSERT,601,12ÈME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,SAINT JEAN DU DÉSERT,254,12ÈME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,SAINT JULIEN,297,12ÈME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,SAINT JULIEN,340,12ÈME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,SAINT JULIEN,605,12ÈME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,SAINT JULIEN,894,12ÈME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,SAINT JULIEN,663,12ÈME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,SAINT JULIEN,1876,12ÈME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,SAINT JULIEN,2038,12ÈME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,SAINT JULIEN,1549,12ÈME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,SAINT JULIEN,1740,12ÈME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,SAINT JULIEN,698,12ÈME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,LES TROIS LUCS,192,12ÈME ARRONDISSEMENT,6EME SECTEUR
3-5 ans,LES TROIS LUCS,169,12ÈME ARRONDISSEMENT,6EME SECTEUR
6-10 ans,LES TROIS LUCS,312,12ÈME ARRONDISSEMENT,6EME SECTEUR
11-17 ans,LES TROIS LUCS,486,12ÈME ARRONDISSEMENT,6EME SECTEUR
18-24 ans,LES TROIS LUCS,405,12ÈME ARRONDISSEMENT,6EME SECTEUR
25-39 ans,LES TROIS LUCS,1139,12ÈME ARRONDISSEMENT,6EME SECTEUR
40-54 ans,LES TROIS LUCS,1136,12ÈME ARRONDISSEMENT,6EME SECTEUR
55-64 ans,LES TROIS LUCS,772,12ÈME ARRONDISSEMENT,6EME SECTEUR
65-79 ans,LES TROIS LUCS,1028,12ÈME ARRONDISSEMENT,6EME SECTEUR
80 ans ou plus,LES TROIS LUCS,463,12ÈME ARRONDISSEMENT,6EME SECTEUR
0-2 ans,CHÂTEAU GOMBERT,371,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,CHÂTEAU GOMBERT,305,13EME ARRONDISSEMENT,7EME SECTEUR
6-10 ans,CHÂTEAU GOMBERT,591,13EME ARRONDISSEMENT,7EME SECTEUR
11-17 ans,CHÂTEAU GOMBERT,570,13EME ARRONDISSEMENT,7EME SECTEUR
18-24 ans,CHÂTEAU GOMBERT,1058,13EME ARRONDISSEMENT,7EME SECTEUR
25-39 ans,CHÂTEAU GOMBERT,1985,13EME ARRONDISSEMENT,7EME SECTEUR
40-54 ans,CHÂTEAU GOMBERT,1422,13EME ARRONDISSEMENT,7EME SECTEUR
55-64 ans,CHÂTEAU GOMBERT,881,13EME ARRONDISSEMENT,7EME SECTEUR
65-79 ans,CHÂTEAU GOMBERT,841,13EME ARRONDISSEMENT,7EME SECTEUR
80 ans ou plus,CHÂTEAU GOMBERT,363,13EME ARRONDISSEMENT,7EME SECTEUR
0-2 ans,LA CROIX ROUGE,247,13EME ARRONDISSEMENT,7EME SECTEUR
3-5 ans,LA CROIX ROUGE,180,13EME ARRONDISSEMENT,7EME SECTEUR
